"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 31 21:52:51 GMT 2024","Fri May 31 21:52:51 GMT 2024","0","tests","test_add_to_cart","TestAddToCart","","","test_04_go_to_checkout",""
"broken","Fri May 31 21:52:51 GMT 2024","Fri May 31 21:52:51 GMT 2024","0","tests","test_add_to_cart","TestAddToCart","","","test_07_verify_order_confirmation",""
"broken","Fri May 31 21:52:51 GMT 2024","Fri May 31 21:52:51 GMT 2024","0","tests","test_login","TestCriticalPath","","","test_01_login[error_user]",""
"broken","Fri May 31 21:52:50 GMT 2024","Fri May 31 21:52:50 GMT 2024","0","tests","test_add_to_cart","TestAddToCart","","","test_01_login",""
"broken","Fri May 31 21:52:51 GMT 2024","Fri May 31 21:52:51 GMT 2024","0","tests","test_login","TestCriticalPath","","","test_01_login[standard_user]",""
"broken","Fri May 31 21:52:51 GMT 2024","Fri May 31 21:52:51 GMT 2024","0","tests","test_add_to_cart","TestAddToCart","","","test_03_verify_added_products",""
"broken","Fri May 31 21:52:51 GMT 2024","Fri May 31 21:52:51 GMT 2024","0","tests","test_login","TestCriticalPath","","","test_01_login[problem_user]",""
"broken","Fri May 31 21:52:51 GMT 2024","Fri May 31 21:52:51 GMT 2024","0","tests","test_add_to_cart","TestAddToCart","","","test_06_verify_order",""
"broken","Fri May 31 21:52:51 GMT 2024","Fri May 31 21:52:51 GMT 2024","0","tests","test_login","TestCriticalPath","","","test_01_login[locked_out_user]",""
"broken","Fri May 31 21:52:51 GMT 2024","Fri May 31 21:52:51 GMT 2024","0","tests","test_login","TestCriticalPath","","","test_01_login[performance_glitch_user]",""
"broken","Fri May 31 21:52:51 GMT 2024","Fri May 31 21:52:51 GMT 2024","0","tests","test_add_to_cart","TestAddToCart","","","test_02_add_to_cart",""
"broken","Fri May 31 21:52:51 GMT 2024","Fri May 31 21:52:51 GMT 2024","0","tests","test_add_to_cart","TestAddToCart","","","test_05_fill_checkout_information",""
"broken","Fri May 31 21:52:51 GMT 2024","Fri May 31 21:52:51 GMT 2024","0","tests","test_login","TestCriticalPath","","","test_01_login[visual_user]",""
